date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
09:35:11	63823/63823	---M-Z	200	added ('OK')	text/html	date:Tue,%2015%20Mar%202022%2008:35:12%20GMT	https://kasta.io/	C:/My%20Web%20Sites/kasta/kasta.io/index.html	(from )
09:35:11	67/67	---M--	200	added ('OK')	text/plain	date:Tue,%2015%20Mar%202022%2008:35:11%20GMT	https://kasta.io/robots.txt		(from )
09:35:12	928/928	---M--	200	added ('OK')	image/png	etag:%2262209b09-3a0%22	https://www.kasta.io/wp-content/themes/kasta25/assets/images/favicon.png	C:/My%20Web%20Sites/kasta/www.kasta.io/wp-content/themes/kasta25/assets/images/favicon.png	(from https://kasta.io/)
09:35:12	83369/83369	---M-Z	200	added ('OK')	text/css	etag:%2262159a91-145a9%22	https://www.kasta.io/wp-includes/css/dist/block-library/style.min.css?ver=5.9.2	C:/My%20Web%20Sites/kasta/www.kasta.io/wp-includes/css/dist/block-library/style.min6dcf.css	(from https://kasta.io/)
09:35:12	33516/33516	---M-Z	200	added ('OK')	text/css	etag:%2262209ad8-82ec%22	https://www.kasta.io/wp-content/themes/kasta25/style.css?ver=5.9.2	C:/My%20Web%20Sites/kasta/www.kasta.io/wp-content/themes/kasta25/style6dcf.css	(from https://kasta.io/)
09:35:13	2871/2871	---M-Z	200	added ('OK')	text/css	etag:%2262209ace-b37%22	https://www.kasta.io/wp-content/themes/kasta25/print.css?ver=5.9.2	C:/My%20Web%20Sites/kasta/www.kasta.io/wp-content/themes/kasta25/print6dcf.css	(from https://kasta.io/)
09:35:13	27298/27298	---M-Z	200	added ('OK')	application/javascript	etag:%2262209b7a-6aa2%22	https://www.kasta.io/wp-content/themes/kasta25/assets/js/index.js?ver=5.9.2	C:/My%20Web%20Sites/kasta/www.kasta.io/wp-content/themes/kasta25/assets/js/index6dcf.js	(from https://kasta.io/)
09:35:14	1555/1555	---M--	400	error ('Bad%20Request')	text/html	date:Tue,%2015%20Mar%202022%2008:35:14%20GMT	https://www.googletagmanager.com/gtm.js?id=	C:/My%20Web%20Sites/kasta/www.googletagmanager.com/gtm.55445.delayed	(from https://kasta.io/)
09:35:14	115036/115036	---M--	200	added ('OK')	image/jpeg	etag:%2262209b16-1c15c%22	https://www.kasta.io/wp-content/themes/kasta25/assets/images/homeheader.jpg	C:/My%20Web%20Sites/kasta/www.kasta.io/wp-content/themes/kasta25/assets/images/homeheader.jpg	(from https://kasta.io/)
09:35:14	59662/59662	---M--	200	added ('OK')	image/jpeg	etag:%2262209b15-e90e%22	https://www.kasta.io/wp-content/themes/kasta25/assets/images/home-background-tablet.jpg	C:/My%20Web%20Sites/kasta/www.kasta.io/wp-content/themes/kasta25/assets/images/home-background-tablet.jpg	(from https://kasta.io/)
